Address,Title,Price,Area,Land Area,Rooms,Price per m²,Link
Ursynów,dom na sprzedaż 540m2,5 300 000 zł,"540 
m
2","0,0926 
ha",7,"9 815 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-540m2/155671622
"Wilanów, Rosy",dom na sprzedaż 191m2,2 592 000 zł,"191 
m
2","0,0412 
ha",5,"13 571 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-rosy-191m2/155645911
Wilanów Powsin,dom na sprzedaż 240m2,2 399 000 zł,"240 
m
2","0,0550 
ha",7,"9 996 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-powsin-240m2/155629402
Wilanów,dom na sprzedaż 360m2,5 500 000 zł,"360 
m
2","0,0750 
ha",7,"15 278 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-360m2/155566905
Mokotów Sadyba,dom na sprzedaż 230m2,2 100 000 zł,"230,03 
m
2","0,0177 
ha",6,"9 129 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-sadyba-230m2/155551535
"Wilanów Zawady, Bruzdowa",dom na sprzedaż 420m2,4 200 000 zł,"420 
m
2","0,1200 
ha",5,"10 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-zawady-bruzdowa-420m2/155672724
"Wilanów Zawady, Bruzdowa",dom na sprzedaż 285m2,3 498 000 zł,"285,20 
m
2","0,0926 
ha",8,"12 265 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-zawady-bruzdowa-285m2/155672620
Wilanów,dom na sprzedaż 200m2,2 890 000 zł,"200 
m
2","0,0244 
ha",6,"14 450 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-200m2/155666294
Ursynów,dom na sprzedaż 300m2,3 250 000 zł,"300 
m
2","0,0350 
ha",5,"10 833 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-300m2/155659088
Wilanów,dom na sprzedaż 233m2,2 390 000 zł,"232,64 
m
2","0,0530 
ha",5,"10 273 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-233m2/155654144
Mokotów Sadyba,dom na sprzedaż 171m2,2 800 000 zł,"171,08 
m
2","0,0313 
ha",6,"16 367 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-sadyba-171m2/155701531
Mokotów Sadyba,dom na sprzedaż 270m2,4 950 000 zł,"270 
m
2","0,0300 
ha",5,"18 333 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-sadyba-270m2/155682843
Wilanów,dom na sprzedaż 350m2,3 340 000 zł,"350 
m
2","0,0800 
ha",5,"9 543 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-350m2/155728033
Wilanów,dom na sprzedaż 360m2,3 995 000 zł,"360 
m
2","0,0520 
ha",6,"11 097 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-360m2/155706943
"Wawer, Anin, Anin",dom na sprzedaż 450m2,2 430 000 zł,"450 
m
2","0,0754 
ha",6,"5 400 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-anin-450m2/155371176
"Ursynów, Dezyderego Adama Chłapowskiego",dom na sprzedaż 338m2,3 200 000 zł,"337,50 
m
2","0,0670 
ha",9,"9 481 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-dezyderego-adama-chlapowskiego-338m2/155142270
"Wawer, Radość",dom na sprzedaż 307m2,2 950 000 zł,"307 
m
2","0,0900 
ha",6,"9 609 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-307m2/154961211
"Bielany, Rokokowa",dom na sprzedaż 143m2,3 600 000 zł,"143 
m
2","0,0510 
ha",4,"25 175 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bielany-rokokowa-143m2/155409130
"Praga-Południe, SASKIE ZACISZE, WAŁ MIEDZESZYŃSKI",dom na sprzedaż 189m2,1 845 000 zł,"188,60 
m
2","0,0165 
ha",5,"9 783 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-praga-poludnie-wal-miedzeszynski-189m2/155556068
"Wawer, Las, Sęczkowa",dom na sprzedaż 81m2,1 032 500 zł,"80,66 
m
2","0,0446 
ha",4,"12 801 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-seczkowa-81m2/155705494
Wawer,dom na sprzedaż 1260m2,9 900 000 zł,"1260 
m
2","0,3921 
ha",30,"7 857 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-1260m2/155739165
Śródmieście,dom na sprzedaż 561m2,11 800 000 zł,"561 
m
2","0,0470 
ha",1,"21 034 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-srodmiescie-561m2/155474904
"Wawer, Międzylesie",dom na sprzedaż 500m2,6 350 000 zł,"500 
m
2","0,3829 
ha",8,"12 700 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-500m2/155737390
"Wawer, Międzylesie",dom na sprzedaż 437m2,3 300 000 zł,"437 
m
2","0,0520 
ha",10,"7 551 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-437m2/155736653
"Mokotów, Sadyba",dom na sprzedaż 190m2,2 695 000 zł,"190 
m
2","0,0200 
ha",4,"14 184 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-190m2/155731566
"Wawer, Marysin Wawerski",dom na sprzedaż 236m2,1 790 000 zł,"236 
m
2","0,0275 
ha",5,"7 585 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-236m2/154309925
dom Warszawa,dom na sprzedaż 196m2,1 850 000 zł,"195,97 
m
2","0,0250 
ha",6,"9 440 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-196m2/155668023
Ursynów,dom na sprzedaż 136m2,2 040 000 zł,"136 
m
2","0,0811 
ha",4,"15 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-136m2/155668019
"Ursynów, Kuropatwy",dom na sprzedaż 226m2,2 500 000 zł,"226 
m
2","0,0373 
ha",5,"11 062 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-kuropatwy-226m2/155668017
"Wesoła, Zielona, Warszawska",dom na sprzedaż 170m2,2 240 000 zł,"170 
m
2","0,0860 
ha",5,"13 176 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wesola-warszawska-170m2/155668016
"Bielany, Marymont",dom na sprzedaż 385m2,5 300 000 zł,"385 
m
2","0,0330 
ha",7,"13 766 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bielany-385m2/155668013
"Mokotów, Służew, Wita Stwosza",dom na sprzedaż 497m2,4 400 000 zł,"497 
m
2","0,0500 
ha",7,"8 853 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-wita-stwosza-497m2/155668012
"Ursynów, Grabów, Kądziołeczki",dom na sprzedaż 191m2,1 490 000 zł,"191 
m
2","0,0340 
ha",6,"7 801 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-kadzioleczki-191m2/155668008
"Wawer, Radość",dom na sprzedaż 860m2,11 900 000 zł,"860 
m
2","0,5600 
ha",6,"13 837 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-860m2/155668005
"Białołęka, Olesin",dom na sprzedaż 290m2,2 599 000 zł,"290 
m
2","0,1500 
ha",6,"8 962 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-290m2/155668000
"Ursynów, Gawota",dom na sprzedaż 105m2,1 650 000 zł,"105 
m
2","0,0206 
ha",4,"15 714 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-gawota-105m2/155735879
Wilanów Powsin,dom na sprzedaż 240m2,2 150 000 zł,"240 
m
2","0,0630 
ha",6,"8 958 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-powsin-240m2/155718247
"Wawer, Stary Anin, Marysińska",dom na sprzedaż 220m2,2 490 000 zł,"220 
m
2","0,0640 
ha",5,"11 318 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-marysinska-220m2/155279134
"Wawer, Anin, ok. Północna /Wójcicka",dom na sprzedaż 300m2,2 700 000 zł,"300 
m
2","0,1520 
ha",7,"9 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-ok-polnocna-wojcicka-300m2/155732124
"Wawer, Warszawa",dom na sprzedaż 150m2,880 000 zł,"150 
m
2","0,0250 
ha",5,"5 867 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-warszawa-150m2/155369770
"Praga-Południe Grochów, Kiprów",dom na sprzedaż 118m2,2 499 000 zł,"118 
m
2","0,0240 
ha",4,"21 178 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-praga-poludnie-grochow-kiprow-118m2/155622384
"Ursynów, Cypryjska",dom na sprzedaż 297m2,2 497 000 zł,"297 
m
2","0,0186 
ha",6,"8 407 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-cypryjska-297m2/155429784
"Mokotów, Cypryjska",dom na sprzedaż 297m2,2 497 000 zł,"297 
m
2","0,0186 
ha",6,"8 407 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-cypryjska-297m2/155345690
"Białołęka, Białołęcka",dom na sprzedaż 123m2,1 217 898 zł,"123,02 
m
2","0,0149 
ha",7,"9 900 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-bialolecka-123m2/155652811
"Wawer, Las, Sęczkowa",dom na sprzedaż 81m2,1 032 500 zł,"80,66 
m
2","0,0405 
ha",4,"12 801 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-seczkowa-81m2/155720158
Mokotów,dom na sprzedaż 333m2,4 200 000 zł,"333,12 
m
2","0,0500 
ha",7,"12 608 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-333m2/155512348
"Wilanów, Przestronna",dom na sprzedaż 191m2,2 280 000 zł,"191,28 
m
2","0,0344 
ha",5,"11 920 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-przestronna-191m2/155509900
"Wilanów, Przestronna",dom na sprzedaż 191m2,2 180 000 zł,"191,28 
m
2","0,0365 
ha",5,"11 397 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-przestronna-191m2/155509783
"Wilanów, Przestronna",dom na sprzedaż 191m2,2 180 000 zł,"191,28 
m
2","0,0343 
ha",5,"11 397 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-przestronna-191m2/155509782
"Mokotów, Sadyba",dom na sprzedaż 190m2,2 690 000 zł,"190 
m
2","0,0465 
ha",5,"14 158 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-190m2/155492299
Ochota,dom na sprzedaż 219m2,3 200 000 zł,"219 
m
2","0,0369 
ha",4,"14 612 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ochota-219m2/155482664
"Wilanów, Zawady",dom na sprzedaż 327m2,3 400 000 zł,"327 
m
2","0,0640 
ha",6,"10 398 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-327m2/155475700
"Wilanów, Przestronna",dom na sprzedaż 191m2,2 180 000 zł,"191,28 
m
2","0,0409 
ha",5,"11 397 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-przestronna-191m2/155379356
"Wilanów, Przestronna",dom na sprzedaż 191m2,2 350 000 zł,"191,28 
m
2","0,0340 
ha",5,"12 286 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-przestronna-191m2/155379355
"Wilanów, Wiechy",dom na sprzedaż 383m2,5 700 000 zł,"383 
m
2","0,4446 
ha",7,"14 883 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-wiechy-383m2/155669763
Wawer,dom na sprzedaż 150m2,2 099 000 zł,"150 
m
2","0,0111 
ha",6,"13 993 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-150m2/155656274
"Wilanów, Rzodkiewki",dom na sprzedaż 254m2,4 900 000 zł,"254 
m
2","0,0930 
ha",6,"19 291 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-rzodkiewki-254m2/155629501
"Bemowo, Jelonki, Miejska",dom na sprzedaż 271m2,3 200 000 zł,"271 
m
2","0,0634 
ha",4,"11 808 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bemowo-miejska-271m2/155691344
"Bemowo, Jelonki",dom na sprzedaż 526m2,4 800 000 zł,"526 
m
2","0,0634 
ha",5,"9 125 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bemowo-526m2/155691343
Wilanów,dom na sprzedaż 279m2,6 500 000 zł,"279 
m
2","0,0467 
ha",7,"23 297 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-279m2/155691340
"Mokotów, Ignacego Krasickiego",dom na sprzedaż 249m2,7 990 000 zł,"249 
m
2","0,0281 
ha",7,"32 088 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-ignacego-krasickiego-249m2/155444125
"Białołęka, Białołęka, Staropolska",dom na sprzedaż 300m2,3 600 000 zł,"300 
m
2","0,0992 
ha",6,"12 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-staropolska-300m2/155647967
"Ursynów, Bekasów",dom na sprzedaż 293m2,3 600 000 zł,"293 
m
2","0,0423 
ha",5,"12 287 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-bekasow-293m2/155372141
Wilanów Zawady,dom na sprzedaż 218m2,3 600 000 zł,"218 
m
2","0,1049 
ha",5,"16 514 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-zawady-218m2/155366497
Wilanów,dom na sprzedaż 311m2,5 300 000 zł,"311 
m
2","0,0616 
ha",7,"17 042 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-311m2/155344236
Wilanów,dom na sprzedaż 120m2,1 950 000 zł,"120 
m
2","0,0342 
ha",6,"16 250 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-120m2/155343264
Wilanów Zawady,dom na sprzedaż 346m2,2 599 000 zł,"346 
m
2","0,0550 
ha",6,"7 512 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-zawady-346m2/155458904
"Wilanów, Zawady, Bruzdowa",dom na sprzedaż 224m2,2 599 000 zł,"223,90 
m
2","0,0600 
ha",7,"11 608 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-bruzdowa-224m2/154731288
"Wilanów, Zawady",dom na sprzedaż 320m2,4 500 000 zł,"320 
m
2","0,1300 
ha",5,"14 063 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-320m2/155643981
"Wawer Falenica, Wiślanego Nurtu",dom na sprzedaż 225m2,2 299 000 zł,"225 
m
2","0,0382 
ha",5,"10 218 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-falenica-wislanego-nurtu-225m2/155123298
"Wawer, Sęczkowa",dom na sprzedaż 81m2,1 032 500 zł,"80,66 
m
2","0,0446 
ha",4,"12 801 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-seczkowa-81m2/155693393
"Bemowo, Wojciecha Korfantego",dom na sprzedaż 290m2,2 570 000 zł,"290 
m
2","0,0386 
ha",7,"8 862 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bemowo-wojciecha-korfantego-290m2/155708468
"Bielany, Gustawa Daniłowskiego",dom na sprzedaż 230m2,5 790 000 zł,"230 
m
2","0,0544 
ha",4,"25 174 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bielany-gustawa-danilowskiego-230m2/155483647
Targówek Zacisze,dom na sprzedaż 240m2,1 850 000 zł,"240 
m
2","0,0506 
ha",6,"7 708 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-targowek-zacisze-240m2/155435446
Włochy,dom na sprzedaż 516m2,6 400 000 zł,"516 
m
2","0,0570 
ha",7,"12 403 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wlochy-516m2/155717123
Wawer,dom na sprzedaż 50m2,830 000 zł,"50 
m
2","0,0600 
ha",2,"16 600 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-50m2/155450543
Wawer,dom na sprzedaż 350m2,3 500 000 zł,"350 
m
2","0,2000 
ha",6,"10 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-350m2/155542428
Wawer,dom na sprzedaż 243m2,2 490 000 zł,"242,50 
m
2","0,0824 
ha",5,"10 268 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-242m2/155416933
"Wawer, Międzylesie",dom na sprzedaż 149m2,1 300 000 zł,"149 
m
2","0,0240 
ha",4,"8 725 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-149m2/155403045
"Wawer, Międzylesie",dom na sprzedaż 149m2,1 300 000 zł,"149 
m
2","0,0200 
ha",4,"8 725 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-149m2/155402897
"Białołęka, Białołęka Dworska",dom na sprzedaż 88m2,1 650 000 zł,"88 
m
2","0,4036 
ha",5,"18 750 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-88m2/154605349
"Wawer, Las, Zabielska",dom na sprzedaż 92m2,1 089 000 zł,"92,32 
m
2","0,0035 
ha",4,"11 796 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-zabielska-92m2/155716945
ul. Szyszkowa,dom na sprzedaż 2641m2,8 000 000 zł,"2641 
m
2","1,1770 
ha",N/A,"3 029 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ul-szyszkowa-2641m2/154925324
"Wesoła, Stara Miłosna, Turkusowa",dom na sprzedaż 220m2,1 590 000 zł,"220 
m
2","0,0169 
ha",4,"7 227 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wesola-turkusowa-220m2/155663172
"Włochy, Solipska",dom na sprzedaż 173m2,2 400 000 zł,"173 
m
2","0,0150 
ha",5,"13 873 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wlochy-solipska-173m2/151691487
"Wawer Sadul, Lucerny",dom na sprzedaż 767m2,3 750 000 zł,"767 
m
2","0,1074 
ha",16,"4 889 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-sadul-lucerny-767m2/155496897
"Wawer, Falenica, Retmańska",dom na sprzedaż 148m2,1 800 000 zł,"148,10 
m
2","0,0353 
ha",5,"12 154 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-retmanska-148m2/155673109
"Białołęka, Szamocin, Ogrody Przyjaciół",dom na sprzedaż 124m2,1 400 000 zł,"124,05 
m
2","0,0190 
ha",5,"11 286 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-ogrody-przyjaciol-124m2/155639359
"Mokotów Sadyba, Inowrocławska",dom na sprzedaż 300m2,3 200 000 zł,"300 
m
2","0,0600 
ha",6,"10 667 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-sadyba-inowroclawska-300m2/155631265
"Mokotów Służew, Aleja Wilanowska",dom na sprzedaż 408m2,3 300 000 zł,"408 
m
2","0,0273 
ha",10,"8 088 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-sluzew-aleja-wilanowska-408m2/155631169
"Mokotów Augustówka, Spiralna",dom na sprzedaż 121m2,1 399 970 zł,"121 
m
2","0,0500 
ha",4,"11 570 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-augustowka-spiralna-121m2/155466010
"Mokotów Augustówka, Spiralna",dom na sprzedaż 121m2,1 472 879 zł,"121 
m
2","0,0500 
ha",4,"12 173 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-augustowka-spiralna-121m2/155466009
"Mokotów Augustówka, Spiralna",dom na sprzedaż 121m2,1 430 000 zł,"121 
m
2","0,0500 
ha",4,"11 818 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-augustowka-spiralna-121m2/155466008
"Mokotów Augustówka, Spiralna",dom na sprzedaż 121m2,1 430 000 zł,"121 
m
2","0,0500 
ha",4,"11 818 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-augustowka-spiralna-121m2/155466007
"Mokotów Augustówka, Spiralna",dom na sprzedaż 146m2,1 593 454 zł,"146 
m
2","0,0500 
ha",4,"10 914 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-augustowka-spiralna-146m2/155465870
"Mokotów Augustówka, Spiralna",dom na sprzedaż 146m2,1 693 454 zł,"146 
m
2","0,0500 
ha",4,"11 599 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-augustowka-spiralna-146m2/155465869
"Mokotów Augustówka, Spiralna",dom na sprzedaż 146m2,1 797 854 zł,"146 
m
2","0,0500 
ha",4,"12 314 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-augustowka-spiralna-146m2/155465868
"Mokotów Augustówka, Spiralna",dom na sprzedaż 146m2,1 643 000 zł,"146 
m
2","0,0500 
ha",4,"11 253 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-augustowka-spiralna-146m2/155465867
"Mokotów Augustówka, Spiralna",dom na sprzedaż 146m2,1 724 854 zł,"146 
m
2","0,0500 
ha",4,"11 814 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-augustowka-spiralna-146m2/155465866
"Mokotów Augustówka, Spiralna",dom na sprzedaż 146m2,1 724 854 zł,"146 
m
2","0,0500 
ha",4,"11 814 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-augustowka-spiralna-146m2/155465865
"Mokotów Augustówka, Spiralna",dom na sprzedaż 146m2,1 643 000 zł,"146 
m
2","0,0500 
ha",4,"11 253 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-augustowka-spiralna-146m2/155465864
"Mokotów Augustówka, Spiralna",dom na sprzedaż 121m2,1 430 000 zł,"121 
m
2","0,0500 
ha",4,"11 818 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-augustowka-spiralna-121m2/155465863
Mokotów,dom na sprzedaż 400m2,12 500 000 zł,"400 
m
2","0,0853 
ha",8,"31 250 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-400m2/155428527
"Wilanów, Wał Zawadowski",dom na sprzedaż 140m2,1 750 000 zł,"140 
m
2","0,0269 
ha",5,"12 500 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-wal-zawadowski-140m2/155427445
"Wilanów, Wał Zawadowski",dom na sprzedaż 150m2,1 850 000 zł,"150 
m
2","0,0353 
ha",5,"12 333 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-wal-zawadowski-150m2/155427444
"Ochota Szczęśliwice, Chińskiej Róży",dom na sprzedaż 220m2,4 499 000 zł,"220 
m
2","0,0221 
ha",6,"20 450 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ochota-szczesliwice-chinskiej-rozy-220m2/155426031
"Wawer Radość, Aleksandrowska",dom na sprzedaż 245m2,3 460 000 zł,"245 
m
2","0,1000 
ha",5,"14 122 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-radosc-aleksandrowska-245m2/155403642
"Wawer, Homera",dom na sprzedaż 500m2,4 950 000 zł,"500 
m
2","0,2000 
ha",6,"9 900 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-homera-500m2/155398155
"Bielany Młociny, Farysa",dom na sprzedaż 712m2,8 900 000 zł,"712 
m
2","0,1000 
ha",12,"12 500 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bielany-mlociny-farysa-712m2/155396186
"Wilanów Zawady, Wał Zawadowski",dom na sprzedaż 224m2,2 390 000 zł,"224,18 
m
2","0,0476 
ha",6,"10 661 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-zawady-wal-zawadowski-224m2/155291425
"Ursynów, ppłk. Zbigniewa Stanisława Kiedacza",dom na sprzedaż 300m2,3 250 000 zł,"300 
m
2","0,0350 
ha",6,"10 833 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-pplk-zbigniewa-stanislawa-kiedacza-300m2/154783370
Ursynów,dom na sprzedaż 267m2,4 500 000 zł,"267,25 
m
2","0,0400 
ha",5,"16 838 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-267m2/154778273
Ursynów,dom na sprzedaż 246m2,4 200 000 zł,"246,08 
m
2","0,0400 
ha",5,"17 068 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-246m2/154778272
Wilanów,dom na sprzedaż 245m2,2 849 999 zł,"244,54 
m
2","0,0733 
ha",6,"11 655 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-245m2/154762863
