Address,Title,Price,Area,Land Area,Rooms,Price per m²,Link
"Mokotów, Sadyba",dom na sprzedaż 180m2,2 750 000 zł,"180 
m
2","0,0730 
ha",6,"15 278 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-180m2/154344531
Ochota,dom na sprzedaż 290m2,3 500 000 zł,"290 
m
2","0,0479 
ha",6,"12 069 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ochota-290m2/154322841
"Wesoła, Wesoła",dom na sprzedaż 520m2,2 650 000 zł,"520 
m
2","0,0839 
ha",11,"5 096 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wesola-wesola-520m2/154287974
Wilanów,dom na sprzedaż 272m2,2 899 000 zł,"272 
m
2","0,1050 
ha",6,"10 658 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-272m2/154144548
Bielany,dom na sprzedaż 385m2,5 300 000 zł,"385 
m
2","0,0330 
ha",7,"13 766 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bielany-385m2/154235809
Wilanów,dom na sprzedaż 240m2,4 600 000 zł,"240 
m
2","0,0833 
ha",7,"19 167 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-240m2/154178749
Białołęka,dom na sprzedaż 220m2,2 700 000 zł,"220 
m
2","0,1680 
ha",5,"12 273 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-220m2/154088075
Wesoła,dom na sprzedaż 700m2,1 900 000 zł,"700 
m
2","0,0850 
ha",14,"2 714 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wesola-700m2/154050325
Wilanów,dom na sprzedaż 240m2,2 890 000 zł,"240 
m
2","0,0208 
ha",7,"12 042 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-240m2/153983390
dom Warszawa,dom na sprzedaż 340m2,2 200 000 zł,"340 
m
2","0,5050 
ha",4,"6 471 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-340m2/153938779
Bemowo,dom na sprzedaż 280m2,3 500 000 zł,"280 
m
2","0,0816 
ha",8,"12 500 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bemowo-280m2/153683100
Ursynów,dom na sprzedaż 200m2,1 650 000 zł,"200 
m
2","0,0159 
ha",5,"8 250 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-200m2/153624900
"Białołęka, Buchnik, Białołęka",dom na sprzedaż 340m2,1 800 000 zł,"340 
m
2","0,1500 
ha",4,"5 294 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-bialoleka-buchnik-bialoleka-340m2/119506838
Ursynów,dom na sprzedaż 1000m2,5 700 000 zł,"1000 
m
2","0,1190 
ha",21,"5 700 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-1000m2/146211456
Wilanów,dom na sprzedaż 730m2,6 500 000 zł,"730 
m
2","0,0950 
ha",12,"8 904 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-730m2/146198647
Wilanów,dom na sprzedaż 280m2,3 500 000 zł,"280 
m
2","0,0600 
ha",6,"12 500 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-280m2/146193309
"Praga-Południe, Saska Kępa",dom na sprzedaż 170m2,2 990 000 zł,"170 
m
2","0,0300 
ha",6,"17 588 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-praga-poludnie-170m2/153513587
Mokotów,dom na sprzedaż 370m2,12 000 000 zł,"370 
m
2","0,0360 
ha",7,"32 432 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-370m2/153458797
"Wawer, Międzylesie",dom na sprzedaż 430m2,3 500 000 zł,"430 
m
2","0,0520 
ha",8,"8 140 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wawer-430m2/153377815
Żoliborz,dom na sprzedaż 400m2,12 000 000 zł,"400 
m
2","0,0469 
ha",5,"30 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-zoliborz-400m2/153260128
"Mokotów, Służew",dom na sprzedaż 430m2,4 300 000 zł,"430 
m
2","0,0366 
ha",9,"10 000 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-430m2/153250348
Wilanów,dom na sprzedaż 300m2,2 990 000 zł,"300 
m
2","0,0390 
ha",9,"9 967 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-wilanow-300m2/153247819
"Ursynów, Imielin Stary",dom na sprzedaż 610m2,4 600 000 zł,"610 
m
2","0,0850 
ha",16,"7 541 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-610m2/153236679
Mokotów,dom na sprzedaż 398m2,7 500 000 zł,"397,97 
m
2","0,0250 
ha",9,"18 846 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-mokotow-398m2/153161970
Ursynów,dom na sprzedaż 700m2,6 800 000 zł,"700 
m
2","0,2150 
ha",16,"9 714 
zł/m
2",https://www.domiporta.pl/nieruchomosci/sprzedam-dom-warszawa-ursynow-700m2/152928089
